タグ	使用頻度	略語	英文	和訳	説明	具体例
設備,用語	3	CK	Check	確認	確認。	「CK SIG」で信号確認。
設備,用語	2	CKT	Circuit	回路	回路。	「CKT ANT」でアンテナ回路。
設備,用語	2	CLD	Called	呼ばれた	呼ばれた。	「CLD CQ」で呼ばれた。
設備,用語	3	CLG	Calling	呼んでいる	呼んでいる。	「CLG DX」でDX呼び。
設備,用語	3	CLR	Clear	明瞭	明瞭。	「CLR COPY」でクリア受信。
設備,用語	2	CMG	Coming	来る	来る。	「CMG SKED」でスケジュール来る。
設備,用語	3	CNT	Can't or Cannot	できない	できない。	「CNT HRD」で聞こえない。
設備,用語	4	CONDX	Condition	状態	条件。	条件「CONDX POOR」でコンディション悪い。
設備,用語	2	CP	CP	特定の呼び出し	特定の呼び。	「CP JA1ABC」でコール。
設備,用語	3	CPI	Copy	受信(CPYのYをIに変えて短縮した表現)	受信状況を示す。	「CPI 599」で受信。
確認,返答	4	CPY	Copy	コピー/受信	受信状況を確認。	受信状況「CPY ALL FB」で全受信良好。
挨拶,定型表現	5	CQ	Calling any station	全局呼び出し(誰でも応答可)	任意局呼び出し。	一般呼出「CQ CQ CQ DE JA1ABC K」で任意局募集。
設備,用語	2	CRD	Card	カード	カード。	「CRD QSL」でカード。
設備,用語	3	CSE	Because	なぜなら	理由。	「CSE QRM」で干渉のため。
設備,用語	3	CUD	Could	?できますか？	可能性を尋ねる丁寧表現。	「CUD U MOVE UP 3 ?」で「3kHz上がってもらえませんか？」。
設備,用語	4	CUL	See you later	また後で	また後で。	再会「CUL 73」で後ほどまた。
設備,用語	3	CUZ	Because	なぜなら	理由。	「CUZ QRN」でノイズで。
設備,用語	5	CW	Continuous Wave	連続波	連続波。	CW運用「CW ONLY」でCW専用運用。
挨拶,定型表現	5	DE	From (identification)	こちらは…(局の識別)	自己識別。	局識別「W8ABC DE KB6NU」で送信元明示。
メッセージ処理	2	DLD	Delivered	配達済み	メッセージの配信確認。	「DLD OK」で配信完了。
設備,用語	2	DO	DO	ホレ	ここ。	「DO QTH」でここ位置。
設備,用語	3	DP	Dipole	ダイポール	ダイポール。	「DP ANT」でアンテナ。
挨拶,定型表現	3	DR	Dear	こんにちは、親愛なる	親しみを込めた挨拶。	親愛「DR OM FB QSO」で親しい呼びかけ。
設備,用語	2	DSW	Goodby	さようなら	さようなら。	「DSW GB」で別れ。
設備,用語	5	DX	Long distance	遠距離通信	遠距離交信を意味。	遠距離「DXCC 100 WKD」でDX達成。
設備,用語	2	ES	and	そして	そして。	接続「73 ES HPE CUAGN」でそして再会希望。
設備,用語	3	EU	Europe	ヨーロッパ	ヨーロッパ。	「EU DX」で欧州。
設備,用語	2	EYE	I	I	私。	「EYE OM」で私は男性。
設備,用語	4	FB	Fine Business	素晴らしい	素晴らしい。	良好報告「FB SIG UR 599」で素晴らしい信号。
設備,用語	3	FER	For	のための	ための。	「FER DX」でDXのため。
設備,用語	4	FIST	Unique characteristic of an operator's sending of CW	オペレーターの送信癖	個々の送信スタイルを指す。	送信技術「NICE FIST OM」で上手な送信。
設備,用語	3	FM	From	から	から。	「FM JA1ABC」でから。
挨拶,定型表現	4	FN	Fine, nice	元気です/よい	調子の良さを伝える。	調子良好「UR RST 599 FN」で良好伝達。
挨拶,定型表現	3	FN WX	Good weather	いい天気です	天気の良さを共有。	好天「FN WX TEMP 20C」で天気良好。
設備,用語	3	FREQ	Frequency	周波数	周波数。	周波数「FREQ 14000」で周波数指定。
設備,用語	2	FRM	From	から	から。	「FRM QTH」で位置から。
挨拶,定型表現	4	GA	Good afternoon or Go ahead	こんにちは/どうぞ	午後挨拶。もしくは送信許可。	午後の挨拶「GA FB SIG」で午後の応答。または「QRL? GA」で送信許可。
挨拶,定型表現	4	GB	Goodbye	さようなら	別れの挨拶。	別れ「GB 73 SK」でさようなら。
設備,用語	3	GD	Good or Good Day	良い一日を	良い日。	「GD MORN」でおはよう。
挨拶,定型表現	4	GE	Good evening	こんばんは	夕方の挨拶。	夜の挨拶「GE OM UR 599」で夕方交信開始。
設備,用語	2	GESS	Guess	推測	推測。	「GESS RST 599」で推測。
設備,用語	2	GG	Going	行く	行く。	「GG QRT」で終了行く。
挨拶,定型表現	4	GL	Good luck	幸運を祈る	コンテストや運用開始時の励まし。	コンテスト「GL IN CONTEST」で幸運を祈る。
設備,用語	2	GLD	Glad	嬉しい	嬉しい。	「GLD QSO」で交信嬉しい。
挨拶,定型表現	4	GM	Good morning	おはよう	朝の挨拶。	朝の挨拶「GM OM TNX CALL」で朝の交信開始。
挨拶,定型表現	4	GN	Good night	おやすみ	就寝前の挨拶。	就寝前「GN TU 73 SK」でおやすみの挨拶。
設備,用語	3	GND	Ground	グラウンド	グラウンド。	「GND CON」でグラウンド接続。
設備,用語	3	GP	Ground Plane	グランドプレーン	グランドプレーン。	「GP ANT」でアンテナ。
設備,用語	2	GS	Green Stamp	ドル札	ドル。	SASE「GS PSE」で切手。
設備,用語	3	GUD	Good	良い	良い。	「GUD COPY」で良い受信。
設備,用語	2	GV	Give	与える	与える。	「GV RST」でレポート与える。
設備,用語	2	GVG	Giving	与えている	与えている。	「GVG INFO」で情報与え。
挨拶,定型表現	4	HI	Laugh (like "haha")	(笑)	笑いの表現。	笑い「FB WX HI HI」で冗談や笑い。
		HR	Here; Hear			
挨拶,定型表現	3	HNY	Happy New Year	明けましておめでとう	新年の挨拶。	新年「HNY 73 OM」で明けましておめでとう。
設備,用語	2	HNY	A Happy New Year	明けましておめでとう	新年。	「HNY 73」でおめでとう。
設備,用語	2	HPE	Hope	希望	希望。	希望「HPE QSL」でカード希望。
設備,用語	2	HQ	Headquarters	本部	本部。	「HQ JARL」で本部。
設備,用語	3	HRD	Heard	聞いた	聞いた。	「HRD U」であなた聞いた。
設備,用語	2	HRS	Hours	時間	時間。	「HRS 2」で2時間。
設備,用語	3	HV	Have	持つ	持つ。	「HV QSL」でカード持つ。
設備,用語	2	HVG	Having	持っている	持っている。	「HVG ANT」でアンテナ持つ。
設備,用語	2	HVY	Heavy	重い	重い。	「HVY QRM」で干渉重い。
設備,用語	4	HW	How or How Copy	どう	どう。	確認「HW COPY?」で受信状況確認。
設備,用語	2	INFO	Information	情報	情報。	「INFO DX」でDX情報。
送受,制御	5	K	Go ahead (invite any station to transmit)	(送信を)どうぞ	通常の交信でメッセージ送信後、Kを送って任意の局に送信を許可。	通常交信後「DE JA1ABC K」で任意局に送信許可。
設備,用語	2	KLIX	Key Clicks	キークリック	キークリック。	「KLIX SORRY」でクリック謝罪。
送受,制御	5	KN	Go ahead (specific station only)	特定局どうぞ(他局送信禁止)	特定局との交信で、他局の割り込みを防ぎKNを送る。	特定局のみ「DE JA1ABC KN」で他局の割り込み防止。
設備,用語	3	LID	A poor operator	下手なオペレーター	下手オペ。	「LID HI」で自嘲。
設備,用語	2	LIL	Little	小さい	小さい。	「LIL PWR」で低出力。
設備,用語	2	LNG	Long	長い	長い。	「LNG PATH」で長経路。
設備,用語	2	LP	Long Path	長経路	長経路。	「LP DX」で長経路。
設備,用語	3	LSN	Listen	聞く	聞く。	「LSN PSE」で聞いて。
設備,用語	2	LTL	Little	小さい	小さい。	「LTL ANT」で小型アンテナ。
設備,用語	3	LTR	Letter or Later	手紙または後で	手紙後で。	「LTR BURO」で手紙局経由。
設備,用語	2	LV	Leave	去る	去る。	「LV QRT」で去る終了。
設備,用語	2	LVG	Leaving	去っている	去っている。	「LVG SOON」ですぐ去る。
設備,用語	3	LW	Long Wire or Long Wave	ロングワイヤー	ロングワイヤー。	「LW ANT」でアンテナ。
設備,用語	2	MA	Milliampers	ミリアンペア	ミリアンペア。	「MA 100」で電流。
設備,用語	2	MGR	Manager	マネージャー	マネージャー。	「MGR CLUB」でクラブマネージャー。
設備,用語	2	MI	My	私の	私の。	「MI QTH」で私の位置。
設備,用語	2	MICRO	micro computer	マイクロコンピューター	マイコン。	「MICRO LOG」でログ用。
設備,用語	2	MM	Maritime mobile	海上移動	海上移動。	「MM /SHIP」で船上。
設備,用語	3	MNI	many	多い	多い。	多数「MNI TNX」で多数感謝。
設備,用語	2	MOM	Moment	瞬間	瞬間。	「MOM PSE」で少し待って。
設備,用語	2	MSG	Message	メッセージ	メッセージ。	「MSG QTC」でメッセージ。
設備,用語	2	MTRS	meters	メートル	メートル。	「MTRS 20」で20m。
設備,用語	2	MULT	Multiplier	マルチプライヤー	マルチプライヤー。	コンテスト「MULT 50」で50。
設備,用語	4	N	No	いいえ	いいえ。	否定「QRM? N」でNo干渉なし。
設備,用語	3	NA	North America	北米	北米。	「NA DX」で北米。
設備,用語	2	NCS	Net Control Station	ネットコントロール	ネットコントロール。	「NCS CQ」でネット開始。
設備,用語	2	ND	Nothing Doing	だめ	だめ。	「ND QSY」で変更不可。
設備,用語	3	NIL	Nothing	何もありません	無し。	「NIL QTC」でメッセージなし。
設備,用語	3	NITE	Night	夜	夜。	「NITE GN」で夜おやすみ。
メッセージ処理	3	NM	No more	以上なし	送信終了の意味。	「NM to send」でこれ以上なし。
設備,用語	3	NR	Number, Near	番号または近く	番号近く。	「NR 10」で10番。
設備,用語	4	NW	Now	今/現在	現在を意味。	現在「NW QRT」で今終了。
		OB	Old boy			
設備,用語	3	OC	Old Chum/Chap or Oceania	古い友人またはオセアニア	古い友人オセアニア。	「OC OM」で古友。
設備,用語	5	OK	Correct	正しい	正しい。	了承「OK TNX」で了解感謝。
設備,用語	4	OM	Old man	男性局員	男性オペレーター。	男性局「FB OM TNX QSO」で親しみの表現。
設備,用語	4	OP	Operator	オペレーター	オペレーターを指す。	運用者「OP IS YL」で女性が運用。
設備,用語	3	OT	Old timer, Old Top	古株	古株。	「OT HI」でベテラン。
設備,用語	2	OW	Old Woman	老婦人	老婦人。	「OW XYL」で妻。
設備,用語	5	PSE	Please	お願いします	丁寧依頼。	依頼「PSE QSL VIA BURO」でカード依頼。
設備,用語	2	PSED	Pleased	喜ぶ	喜ぶ。	「PSED QSO」で喜ぶ。
設備,用語	3	PWR	Power	電力	電力。	出力「PWR 100W」で送信電力。
交信,状態,Q符号	1	QRA	My station name is ...	私の局名は…	自分の局名を伝える。	「QRA JA1ABC」で自己紹介。
交信,状態,Q符号,疑問	1	QRA?	What is your station name?	あなたの局名は？	局名を尋ねる。	新局に「QRA?」でコールサイン確認。
交信,状態,Q符号	1	QRH	Your frequency varies	あなたの周波数は変動しています	相手の周波数変動を指摘。	「QRH PSE CORRECT」で修正依頼。
交信,状態,Q符号,疑問	1	QRH?	Does my frequency vary?	私の周波数は変動していますか？	周波数の変動を尋ねる。	ドリフト疑い「QRH?」
交信,状態,Q符号	2	QRK	Your signals are ... readable	あなたの信号は…の了解度です	相手の信号品質を報告。	信号品質「QRK 5」で完全了解を報告。
交信,状態,Q符号,疑問	2	QRK?	What is my signal intelligibility?	私の信号の了解度は？	信号の可読性を尋ねる。	信号品質確認「QRK?」でレポート依頼。
交信,状態,Q符号	5	QRL	I am busy (or this frequency is busy)	この周波数は使用中です	使用中を伝える。	周波数使用中「QRL SORRY」で割り込み拒否。
交信,状態,Q符号,疑問	5	QRL?	Are you busy?	この周波数を使っていますか？	周波数の使用状況を確認。	CQ前「QRL?」で周波数使用確認、返答「QRL」「C」「Y」。
交信,状態,Q符号	4	QRM	Your transmission is being interfered with	あなたの信号は妨害されています	相手の干渉を指摘。	干渉報告「QRM BAD PSE QSY」で周波数変更依頼。
交信,状態,Q符号,疑問	4	QRM?	Is my transmission being interfered with?	私の信号は妨害を受けていますか？	干渉の有無を尋ねる。	干渉確認「QRM?」で妨害の有無を確認。
交信,状態,Q符号	4	QRN	I am troubled by static	あなたの信号は雑音(空電)があります	ノイズを報告。	ノイズ報告「QRN HVY UR RST 339」で空電影響報告。
交信,状態,Q符号,疑問	4	QRN?	Are you troubled by static?	私の信号は雑音(空電)がありますか？	静電気ノイズの影響を尋ねる。	空電確認「QRN?」でノイズ影響を確認。
出力,速度,Q符号	3	QRO	Increase power	出力を上げてください	出力増加を指示。	出力増加「QRO PSE」で強化依頼。
出力,速度,Q符号,疑問	3	QRO?	Shall I increase power?	出力を上げましょうか？	出力増加を提案。	弱信号時「QRO?」で出力増加を提案。
出力,速度,Q符号	4	QRP	Decrease power	出力を下げてください	出力減少を指示。	低出力運用「QRP 5W」で出力宣言。
出力,速度,Q符号,疑問	4	QRP?	Shall I decrease power?	出力を下げましょうか？	出力減少を提案。	強すぎ「QRP?」で出力減少を提案。
出力,速度,Q符号	2	QRQ	Send faster	もっと速く送ってください	速度向上を指示。	速度向上「QRQ 30WPM PSE」で指定速度依頼。
出力,速度,Q符号,疑問	2	QRQ?	Shall I send faster?	もっと速く送りましょうか？	送信速度向上を提案。	速度確認「QRQ?」で速度向上を提案。
出力,速度,Q符号	5	QRS	Send slower	もっとゆっくり送ってください	速度低下を指示。	ゆっくり送信「QRS PSE」で速度低下依頼。
出力,速度,Q符号,疑問	5	QRS?	Shall I send slower?	もっとゆっくり送りましょうか？	送信速度低下を提案。	聞き取り困難「QRS?」でゆっくり送信を提案。
交信,状態,Q符号	3	QRT	Stop sending	送信を止めてください	送信停止を指示。	送信停止「QRT NW」で即座終了。
交信,状態,Q符号,疑問	3	QRT?	Shall I stop sending?	送信を止めましょうか？	送信停止を提案。	終了確認「QRT?」で送信停止を確認。
交信,状態,Q符号	2	QRU	I have nothing for you	何もありません	伝言なしを伝える。	伝言なし「QRU NIL」で送信内容なし。
交信,状態,Q符号,疑問	2	QRU?	Have you anything for me?	何か伝言ありますか？	伝言の有無を尋ねる。	ネット運用「QRU?」で伝言有無を確認。
交信,状態,Q符号	4	QRV	I am ready	私は準備できています	準備完了を伝える。	準備完了「QRV QSL」で運用開始。
交信,状態,Q符号,疑問	4	QRV?	Are you ready?	あなたは準備できていますか？	準備状況を確認。	スケジュール前「QRV?」で準備完了を確認。
交信,状態,Q符号	2	QRX	I will call you again at ...	私はあなたを…に再び呼びます	再コール時間を伝える。	再コール「QRX 1HR」で1時間後再呼出。
交信,状態,Q符号,疑問	2	QRX?	When will you call me again?	いつあなたは私を再び呼びますか？	再コール時間を尋ねる。	切断時「QRX 2200Z」で指定。
交信,状態,Q符号	5	QRZ	You are being called by ...	あなたは…に呼ばれています	呼び出し元を伝える。	呼出特定「QRZ JA1ABC」で呼出局を特定。
交信,状態,Q符号,疑問	5	QRZ?	Who is calling me?	誰が私を呼んでいますか？	呼び出し元を尋ねる。	DX/コンテスト「QRZ?」で次の呼び出し局を募集。
交信,状態,Q符号	4	QSB	Your signal is fading	あなたの信号は変動しています	相手のフェーディングを報告。	フェージング「QSB BAD PSE SLOWER」で速度調整依頼。
交信,状態,Q符号,疑問	4	QSB?	Is my signal fading?	私の信号は変動していますか？	信号のフェーディングを尋ねる。	変動時「QSB?」でフェージング確認。
確認,返答	5	QSL	I acknowledge receipt	交信証を送ります	QSLカードの発行を意味。	カード送付「QSL TU 73」で確認と感謝。
確認,返答,疑問	5	QSL?	Can you acknowledge receipt?	交信証をいただけますか	QSLカードの受信確認を求める。	交信後「QSL?」でカード送付を確認。
通信,Q符号	5	QSO	I can communicate with ...	…と交信できます	交信可能を伝える。	交信可能「QSO OK FB」で交信開始。
通信,Q符号,疑問	5	QSO?	Can you communicate with ...?	…と交信できますか？	特定局との交信可能性を尋ねる。	DX探索「QSO JA1ABC?」で特定局との交信可能性確認。
通信,Q符号	2	QSP	I will relay to ...	…へ中継します	中継承諾。	中継承諾「QSP WIL」で引き受ける。
通信,Q符号,疑問	2	QSP?	Will you relay to ...?	…へ中継してもらえますか？	中継依頼。	中継依頼「QSP JA1ABC?」で伝言中継を依頼。
周波数,通信,Q符号	1	QSU	Send on this frequency	この周波数で送信してください	この周波数使用を指示。	「QSU PSE」で確認。
周波数,通信,Q符号,疑問	1	QSU?	Shall I send on this frequency?	この周波数で送信しましょうか？	この周波数使用を提案。	「QSU 7070?」
周波数,通信,Q符号	2	QSX	I am listening to ... on ... kHz	…を…kHzで受信しています	特定周波数受信を伝える。	「QSX 14200 CW」で待機。
周波数,通信,Q符号,疑問	2	QSX?	Will you listen to ... on ... kHz?	…を…kHzで受信しますか？	特定周波数受信を尋ねる。	「QSX 14200 7.000?」
周波数,通信,Q符号	4	QSY	Change frequency	周波数を変えてください	周波数変更を指示。	周波数変更「QSY UP 5」で5kHz上へ移動。
周波数,通信,Q符号,疑問	4	QSY?	Shall I change frequency?	周波数を変えましょうか？	周波数変更を提案。	混信時「QSY 14050?」で周波数変更提案。
通信,Q符号	2	QTC	I have ... messages to send	…通の電報があります	メッセージ数を伝える。	メッセージ数「QTC 3」で3通送信。
通信,Q符号,疑問	2	QTC?	How many messages have you to send?	送る電報は何通ありますか？	送信メッセージ数を尋ねる。	トラフィック「QTC?」で送信メッセージ数確認。
通信,Q符号	5	QTH	My location is ...	私の所在地は…	位置を伝える。	位置報告「QTH TOKYO JA1ABC」で所在地伝達。
通信,Q符号,疑問	5	QTH?	What is your location?	あなたの所在地は？	位置を尋ねる。	位置確認「QTH?」でロケーション質問。
確認,返答	5	R	All received OK	了解(100%聞き取れた)	受信確認の略。	完全受信「R TU 73」で100%了解確認。
RST,詳細	3	R1	Unreadable	了解不能	受信不能。	ノイズで「R1」で不可。
RST,詳細	3	R2	Barely readable, occasional words distinguishable	ほとんど了解できない(時々単語が分かる)	ほとんど不可。	時々単語「R2」で部分。
RST,詳細	3	R3	Readable with considerable difficulty	かなり困難だが了解可能	苦労受信。	努力で「R3」可能。
RST,詳細	4	R4	Readable with practically no difficulty	ほとんど問題なく了解可能	容易受信。	ほぼ問題なし「R4」。
RST,詳細	5	R5	Perfectly readable	完全に了解できる	完全受信。	完全了解「UR R5 S9 T9」で最高評価。
設備,用語	3	RC	Ragchew	雑談	雑談。	「RC RAG」で雑談。
設備,用語	2	RCD	Received	受信	受信。	「RCD QSL」で受信。
設備,用語	2	RCVD	Received	受信	受信。	「RCVD ALL」で全受信。
設備,用語	3	RCVR	Receiver	受信機	受信機。	「RCVR FT-817」で機種。
設備,用語	3	REPT	Report	レポート	レポート。	「REPT RST」でレポート。
干渉関連	2	RFI	Radio frequency interference	無線周波干渉	RF源からの干渉。	「RFI bad PSE QSY」で周波変更依頼。
設備,用語	4	RIG	Radio equipment	無線機	使用機材を説明。	機材紹介「RIG IC-7300 PWR 100W」で使用機材。
設備,用語	3	RNG	Running	走行中	走行中。	移動「RNG MOBILE」で走行。
RST	5	RST	Readability, Strength, Tone	信号レポート(了解度・強さ・音質)	信号レポートの形式。	信号レポート「UR RST 599」で完全受信報告。
RST	3	RST 339	Readable with difficulty, weak, pure tone	聞き取り困難、弱く、音質良好	難受信例。	弱信号「QRN HVY UR RST 339」で困難だが了解可能。
RST	5	RST 599	Perfectly readable, extremely strong, pure tone	完全に了解でき、非常に強く、純粋な音	最高レポート例。	最高レポート「FB SIG UR RST 599」で強力信号。
		RST 5NN	Perfectly readable, extremely strong, pure tone	完全に了解でき、非常に強く、純粋な音	RSTレポートの数字は略記される場合がある。1=A,2=U,3=V,5=E,7=B,8=D,9=N,0=T	
設備,用語	2	RTTY	Radio Teletype	ラジオテレタイプ	ラジオテレタイプ。	「RTTY MODE」でモード。
設備,用語	4	RX	Receiver	受信機	受信機。	受信機「RX NOW」で受信待機。
RST,詳細	3	S1	Faint signals, barely perceptible	かすかに感じる程度	微弱信号。	かろうじて「S1」で弱。
RST,詳細	4	S5	Fairly good signals	かなり良好	良好信号。	そこそこ「S5」で良い。
RST,詳細	5	S9	Extremely strong signals	非常に強い	極強信号。	極強信号「UR SIG S9 FB」で非常に強い。
設備,用語	3	SA	Say	Sayまたは南米	言う南米。	「SA QTH」で言う位置。
設備,用語	2	SASE	Self Addressed and Stamped Envelope	返信用封筒	返信用封筒。	「SASE PSE」で依頼。
設備,用語	2	SED	Said	言った	言った。	「SED QRA」で言った名前。
設備,用語	2	SHUD	Should	すべき	すべき。	「SHUD QSY」で変更すべき。
設備,用語	3	SIG	Signal(s)	信号	信号。	「SIG 599」で信号。
		SK			相手が返事をしてくることを期待しない段階で交信の最後に送信する	
設備,用語	3	SKED	Schedule	スケジュール	スケジュール。	スケジュール「SKED 1400Z」で約束時刻。
設備,用語	3	SN	Soon	すぐに	間もなく。	「SN BK」ですぐ交代。
設備,用語	2	SND	Sound	音	音。	「SND GOOD」で音良い。
設備,用語	2	SP	Short Path	短経路	短経路。	「SP DX」で短経路。
		SRI	Sorry	ごめんなさい		謝罪「SRI QRM」で干渉申し訳ない。
設備,用語	2	SS	Sweepstakes	スイープステークス	スイープステークス。	「SS CONTEST」でコンテスト。
設備,用語	2	STEDI	Steady	安定	安定。	「STEDI SIG」で安定信号。
設備,用語	3	STN	Station	局	局。	「STN JA1ABC」で局。
設備,用語	3	SU	See You	また会おう	また会おう。	「SU CUL」でまた。
設備,用語	2	SUM	Some	いくつか	いくつか。	「SUM QTC」でいくつか。
設備,用語	2	SVC	Service	サービス	サービス。	「SVC NET」でサービス。
設備,用語	3	SWL	Short Wave Listener	短波リスナー	短波リスナー。	「SWL HRD」でリスナー。
設備,用語	2	T	Zero	ゼロ	ゼロ。	「T RST」で0レポート。
RST,詳細	3	T1	Extremely rough, very harsh note	極めて粗く耳障り	粗悪音。	耳障り「T1」で悪い。
RST,詳細	4	T5	Fairly pure tone	かなり純粋な音	やや純音。	まあまあ「T5」で良い。
